TITLE="anvil_cfd_result"
VARIABLES="x" "y" "rho" "u" "v" "p" "T" "Mach" "p0"
ZONE T="Fluid", I=80, J=40, DATAPACKING=POINT
6.31250000e-01 1.18806407e-01 1.69944332e+00 6.02962641e+02 1.06314273e+02 1.72909567e+05 3.54439965e+02 1.62225166e+00 7.59623886e+05
6.43750000e-01 1.21010494e-01 1.69948835e+00 6.02973674e+02 1.06316054e+02 1.72908463e+05 3.54428311e+02 1.62230794e+00 7.59682651e+05
6.56250000e-01 1.23214581e-01 1.69953194e+00 6.02984639e+02 1.06318055e+02 1.72907249e+05 3.54416732e+02 1.62236397e+00 7.59740660e+05
6.68750000e-01 1.25418668e-01 1.69957371e+00 6.02995630e+02 1.06320138e+02 1.72905872e+05 3.54405199e+02 1.62242001e+00 7.59797961e+05
6.81250000e-01 1.27622756e-01 1.69961569e+00 6.03006422e+02 1.06322064e+02 1.72904625e+05 3.54393889e+02 1.62247495e+00 7.59854594e+05
6.93750000e-01 1.29826843e-01 1.69965950e+00 6.03016813e+02 1.06323764e+02 1.72903739e+05 3.54382938e+02 1.62252791e+00 7.59910595e+05
7.06250000e-01 1.32030930e-01 1.69970574e+00 6.03026715e+02 1.06325290e+02 1.72903299e+05 3.54372395e+02 1.62257859e+00 7.59965968e+05
7.18750000e-01 1.34235017e-01 1.69975389e+00 6.03036178e+02 1.06326746e+02 1.72903232e+05 3.54362218e+02 1.62262726e+00 7.60020708e+05
7.31250000e-01 1.36439105e-01 1.69980336e+00 6.03045277e+02 1.06328182e+02 1.72903442e+05 3.54352337e+02 1.62267428e+00 7.60074820e+05
7.43750000e-01 1.38643192e-01 1.69985431e+00 6.03054009e+02 1.06329549e+02 1.72903943e+05 3.54342743e+02 1.62271967e+00 7.60128358e+05
7.56250000e-01 1.40847279e-01 1.69990797e+00 6.03062237e+02 1.06330750e+02 1.72904896e+05 3.54333510e+02 1.62276283e+00 7.60181378e+05
7.68750000e-01 1.43051366e-01 1.69996595e+00 6.03069753e+02 1.06331696e+02 1.72906526e+05 3.54324765e+02 1.62280291e+00 7.60233884e+05
7.81250000e-01 1.45255454e-01 1.70003078e+00 6.03076241e+02 1.06332266e+02 1.72909193e+05 3.54316718e+02 1.62283853e+00 7.60285911e+05
7.93750000e-01 1.47459541e-01 1.70010221e+00 6.03081698e+02 1.06332628e+02 1.72912873e+05 3.54309372e+02 1.62286976e+00 7.60337430e+05
8.06250000e-01 1.49663628e-01 1.70017793e+00 6.03086382e+02 1.06333024e+02 1.72917251e+05 3.54302562e+02 1.62289777e+00 7.60388367e+05
8.18750000e-01 1.51867715e-01 1.70025466e+00 6.03090696e+02 1.06333646e+02 1.72921864e+05 3.54296026e+02 1.62292428e+00 7.60438660e+05
8.31250000e-01 1.54071803e-01 1.70032844e+00 6.03095174e+02 1.06334624e+02 1.72926147e+05 3.54289426e+02 1.62295154e+00 7.60488337e+05
8.43750000e-01 1.56275890e-01 1.70039658e+00 6.03100193e+02 1.06335962e+02 1.72929704e+05 3.54282517e+02 1.62298108e+00 7.60537413e+05
8.56250000e-01 1.58479977e-01 1.70045645e+00 6.03106151e+02 1.06337677e+02 1.72932153e+05 3.54275060e+02 1.62301449e+00 7.60586010e+05
8.68750000e-01 1.60684064e-01 1.70050682e+00 6.03113267e+02 1.06339719e+02 1.72933317e+05 3.54266950e+02 1.62305259e+00 7.60634244e+05
8.81250000e-01 1.62888152e-01 1.70054609e+00 6.03121853e+02 1.06342109e+02 1.72932956e+05 3.54258030e+02 1.62309653e+00 7.60682398e+05
8.93750000e-01 1.65092239e-01 1.70057613e+00 6.03131708e+02 1.06344625e+02 1.72931337e+05 3.54248455e+02 1.62314535e+00 7.60730543e+05
9.06250000e-01 1.67296326e-01 1.70059962e+00 6.03142460e+02 1.06347124e+02 1.72928844e+05 3.54238456e+02 1.62319746e+00 7.60778585e+05
9.18750000e-01 1.69500414e-01 1.70061838e+00 6.03153758e+02 1.06349615e+02 1.72925736e+05 3.54228180e+02 1.62325165e+00 7.60826258e+05
9.31250000e-01 1.71704501e-01 1.70063513e+00 6.03165011e+02 1.06352038e+02 1.72922408e+05 3.54217876e+02 1.62330574e+00 7.60872871e+05
9.43750000e-01 1.73908588e-01 1.70065368e+00 6.03175533e+02 1.06354226e+02 1.72919393e+05 3.54207835e+02 1.62335722e+00 7.60917902e+05
